Step,Queue Length,Counters,Thresholds
187,Queue Length: 8,Counters: [46 46 46 46 46 46 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
188,Queue Length: 8,Counters: [47 47 47 47 47 47 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
189,Queue Length: 8,Counters: [48 48 48 48 48 48 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
190,Queue Length: 8,Counters: [49 49 49 49 49 49 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
191,Queue Length: 8,Counters: [50 50 50 50 50 50 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
192,Queue Length: 8,Counters: [51 51 51 51 51 51 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
193,Queue Length: 8,Counters: [52 52 52 52 52 52 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
194,Queue Length: 8,Counters: [53 53 53 53 53 53 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
195,Queue Length: 8,Counters: [54 54 54 54 54 54 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
196,Queue Length: 8,Counters: [55 55 55 55 55 55 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
197,Queue Length: 8,Counters: [56 56 56 56 56 56 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
198,Queue Length: 8,Counters: [57 57 57 57 57 57 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
199,Queue Length: 8,Counters: [58 58 58 58 58 58 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
200,Queue Length: 8,Counters: [59 59 59 59 59 59 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
201,Queue Length: 8,Counters: [60 60 60 60 60 60 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
202,Queue Length: 8,Counters: [61 61 61 61 61 61 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
203,Queue Length: 8,Counters: [62 62 62 62 62 62 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
204,Queue Length: 8,Counters: [63 63 63 63 63 63 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
205,Queue Length: 8,Counters: [64 64 64 64 64 64 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
206,Queue Length: 8,Counters: [65 65 65 65 65 65 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
207,Queue Length: 8,Counters: [66 66 66 66 66 66 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
208,Queue Length: 8,Counters: [67 67 67 67 67 67 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
209,Queue Length: 8,Counters: [68 68 68 68 68 68 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
210,Queue Length: 8,Counters: [69 69 69 69 69 69 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
211,Queue Length: 8,Counters: [70 70 70 70 70 70 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
212,Queue Length: 8,Counters: [71 71 71 71 71 71 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
213,Queue Length: 8,Counters: [72 72 72 72 72 72 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
214,Queue Length: 8,Counters: [73 73 73 73 73 73 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
215,Queue Length: 8,Counters: [74 74 74 74 74 74 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
216,Queue Length: 8,Counters: [75 75 75 75 75 75 0 0 0 ],Thresholds: [0 600 600 300 200 120 85 54 35 ]
