Step,Queue Length,Counters,Thresholds
130,Queue Length: 7,Counters: [57 57 57 57 57 57 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
131,Queue Length: 8,Counters: [58 58 58 58 58 58 1 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
132,Queue Length: 8,Counters: [59 59 59 59 59 59 2 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
133,Queue Length: 8,Counters: [60 60 60 60 60 60 3 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
134,Queue Length: 7,Counters: [61 61 61 61 61 61 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
135,Queue Length: 8,Counters: [62 62 62 62 62 62 1 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
136,Queue Length: 8,Counters: [63 63 63 63 63 63 2 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
137,Queue Length: 7,Counters: [64 64 64 64 64 64 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
138,Queue Length: 7,Counters: [65 65 65 65 65 65 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
139,Queue Length: 8,Counters: [66 66 66 66 66 66 1 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
140,Queue Length: 8,Counters: [67 67 67 67 67 67 2 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
141,Queue Length: 8,Counters: [68 68 68 68 68 68 3 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
142,Queue Length: 8,Counters: [69 69 69 69 69 69 4 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
143,Queue Length: 7,Counters: [70 70 70 70 70 70 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
144,Queue Length: 8,Counters: [71 71 71 71 71 71 1 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
145,Queue Length: 7,Counters: [72 72 72 72 72 72 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
146,Queue Length: 8,Counters: [73 73 73 73 73 73 1 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
147,Queue Length: 8,Counters: [74 74 74 74 74 74 2 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
148,Queue Length: 8,Counters: [75 75 75 75 75 75 3 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
149,Queue Length: 7,Counters: [0 0 0 0 0 0 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
150,Queue Length: 7,Counters: [1 1 1 1 1 1 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
151,Queue Length: 7,Counters: [2 2 2 2 2 2 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
152,Queue Length: 7,Counters: [3 3 3 3 3 3 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
153,Queue Length: 7,Counters: [4 4 4 4 4 4 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
154,Queue Length: 6,Counters: [5 5 5 5 5 0 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
155,Queue Length: 7,Counters: [6 6 6 6 6 1 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
156,Queue Length: 6,Counters: [7 7 7 7 7 0 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
157,Queue Length: 6,Counters: [8 8 8 8 8 0 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
158,Queue Length: 6,Counters: [9 9 9 9 9 0 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
159,Queue Length: 7,Counters: [10 10 10 10 10 1 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
160,Queue Length: 6,Counters: [11 11 11 11 11 0 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
161,Queue Length: 6,Counters: [12 12 12 12 12 0 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
162,Queue Length: 6,Counters: [13 13 13 13 13 0 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
163,Queue Length: 6,Counters: [14 14 14 14 14 0 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
164,Queue Length: 7,Counters: [15 15 15 15 15 1 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
165,Queue Length: 6,Counters: [16 16 16 16 16 0 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
166,Queue Length: 7,Counters: [17 17 17 17 17 1 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
167,Queue Length: 6,Counters: [18 18 18 18 18 0 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
168,Queue Length: 7,Counters: [19 19 19 19 19 1 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
169,Queue Length: 6,Counters: [20 20 20 20 20 0 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
170,Queue Length: 7,Counters: [21 21 21 21 21 1 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
171,Queue Length: 7,Counters: [22 22 22 22 22 2 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
172,Queue Length: 7,Counters: [23 23 23 23 23 3 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
