Iteration,File,Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Threshold,Decay,Average Queue Size,Std Dev Queue Size,Average Frame Time,Std Dev Frame Time,Interrupt Count,Interrupts Magnitude(ms),Interrupt Mag (ms/s),Std Interrupt Mag,Interrupt Frequency (/s)
116,jitter_values_20250226_183721.csv,2,60,E-Policy,3,600,2,7.002443494196701,2.1684331175218254,16.709974251679903,2.749720638092627,1,119.9176,1.4523431269739009,0.0,0.016773753408891878
117,jitter_values_20250226_183845.csv,2,60,E-Policy,3,600,2,6.90381679389313,1.929792647148521,16.71712323664122,2.496099680532869,1,117.0218,1.402903401425478,0.0,0.01676340203709168
118,jitter_values_20250226_184009.csv,2,60,E-Policy,3,600,2,7.351880158972791,1.440139512548404,16.72111592785081,2.3969542865653155,3,"105.2081, 33.5244, 33.4289",1.2110782977810404,33.814552289049885,0.05034873206507338
119,jitter_values_20250226_184134.csv,2,60,E-Policy,3,600,2,7.736408063530849,1.1359632538750228,16.709614691508857,2.3292127623227614,1,116.9665,1.4028089366193486,0.0,0.016773356835724104
120,jitter_values_20250226_184258.csv,2,60,E-Policy,3,600,2,7.510540788267645,1.3035458439812808,16.711992086770547,2.2107882644177206,1,102.6415,1.1624805168429715,0.0,0.016772634220951273
121,jitter_values_20250226_184422.csv,2,60,E-Policy,3,600,2,7.607339449541285,1.780886922238021,16.724372599388378,2.35087644448536,1,116.5246,1.396418801839696,0.0,0.01678564191870449
122,jitter_values_20250226_184546.csv,2,60,E-Policy,3,600,2,8.126261082237848,1.6579761965138875,16.72771091409355,2.6307663777720767,1,133.2986,1.6776284555981262,0.0,0.01678211365533831
123,jitter_values_20250226_184710.csv,2,60,E-Policy,3,600,2,10.049862343224227,2.3617769458867035,16.745521688589783,2.377869451297741,1,105.0943,1.2047713178319683,0.0,0.016788671961745445
124,jitter_values_20250226_184835.csv,2,60,E-Policy,3,600,2,7.416615760537569,1.6859926964944654,16.71132852779475,2.368621413587025,1,107.9306,1.2514355507107708,0.0,0.01677589029483696
125,jitter_values_20250226_184959.csv,2,60,E-Policy,3,600,2,7.567237163814181,1.2778487903575706,16.712304614914423,2.295545767347018,2,"106.6844, 33.7543",1.2380434168740864,36.465050000000005,0.03356403187793679
126,jitter_values_20250226_185123.csv,2,60,E-Policy,3,600,2,7.741136919315403,1.3445933231748655,16.71758377139364,2.5049713958052666,1,117.4713,1.4119523877674973,0.0,0.016781394356116204
127,jitter_values_20250226_185247.csv,2,60,E-Policy,3,600,2,6.690381679389313,1.2573603730788045,16.709895572519084,2.5657559254785367,1,123.0701,1.5049605353637086,0.0,0.01677083543843901
128,jitter_values_20250226_185412.csv,2,60,E-Policy,3,600,2,6.017388651616839,1.8692383837117295,16.675130964002438,3.68244830667612,14,"130.6536, 39.7276, 106.3547, 78.7986, 50.6662, 35.7043, 38.8758, 36.7069, 33.486, 37.8691, 36.2084, 34.3679, 35.3656, 34.0609",4.394566002133788,29.74202290730359,0.23466388179193623
129,jitter_values_20250226_185536.csv,2,60,E-Policy,3,600,2,7.760696821515892,1.541202745836728,16.713763325183375,2.4990041642375265,1,103.6206,1.1794590545380164,0.0,0.01678055103947302
130,jitter_values_20250226_185700.csv,2,60,E-Policy,3,600,2,7.8805377329666975,1.4204981061863786,16.716237305224563,2.517461669866425,1,118.194,1.4237593685883128,0.0,0.016777612475823753
131,jitter_values_20250226_185824.csv,2,60,E-Policy,3,600,2,7.095630919645585,1.495824212267942,16.713315887564924,2.2093284705508656,1,104.4324,1.192420770885611,0.0,0.016771257879612807
132,jitter_values_20250226_185949.csv,2,60,E-Policy,3,600,2,6.809160305343512,0.9635579162265944,16.708745251908397,2.4431291362500493,1,116.1693,1.38929467569266,0.0,0.01677163607523645
133,jitter_values_20250226_190113.csv,2,60,E-Policy,3,600,2,6.1355054811205845,1.7386943943792403,16.670058587088917,4.102154189363606,15,"131.8578, 34.1493, 33.8483, 33.847, 142.7632, 49.8912, 83.0934, 49.6783, 34.5851, 66.5488, 34.5911, 33.4568, 35.266, 34.6495, 35.045",5.582109928927522,35.03402771654755,0.25124208735458886
134,jitter_values_20250226_190237.csv,2,60,E-Policy,3,600,2,8.538390945243194,1.529837066264977,16.73130498623432,2.282425300381218,1,117.9462,1.4204076892676927,0.0,0.016787136004442784
